country_id,country_name,phone_code,country_code,last_update_date
1,AFGHANISTAN,93,AFG,
2,ALAND_ISLANDS,358,ALA,
3,ALBANIA,355,ALB,
4,ALGERIA,213,DZA,
5,AMERICAN_SAMOA,1-684,ASM,
6,ANDORRA,376,AND,
7,ANGOLA,244,AGO,
8,ANGUILLA,1-264,AIA,
9,ANTARCTICA,672,ATA,
10,ANTIGUA_AND_BARBUDA,1-268,ATG,
11,ARGENTINA,54,ARG,
12,ARMENIA,374,ARM,
13,ARUBA,297,ABW,
14,AUSTRALIA,61,AUS,
15,AUSTRIA,43,AUT,
16,AZERBAIJAN,994,AZE,
17,BAHAMAS,1-242,BHS,
18,BAHRAIN,973,BHR,
